week,date_start,date_end,class_date,topics,readings,materials
Week 01,2025-08-25,2025-08-29,2025-08-29,Cognition: Why and wherefore,SA: Ch 1 & 3,
Week 02,2025-09-01,2025-09-05,2025-09-05,Theoretical foundations: Piaget,SA: Ch 2,
Week 03,2025-09-08,2025-09-12,2025-09-12,Theoretical foundations: Sociocultural development,SA: Ch 4,
Week 04,2025-09-15,2025-09-19,2025-09-19,Perceptual development: Overview,SA: Ch 5,
Week 05,2025-09-22,2025-09-26,2025-09-26,Perceptual development: Deep dive,,
Week 06,2025-09-29,2025-10-03,2025-10-03,Language development: Overview,SA: Ch 6,
Week 07,2025-10-06,2025-10-10,2025-10-10,Language development: Deep dive,,
Week 08,2025-10-13,2025-10-17,2025-10-17,Memory development: Overview,SA: Ch 7,
Week 09,2025-10-20,2025-10-24,2025-10-24,Memory development: Deep dive,,
Week 10,2025-10-27,2025-10-31,2025-10-31,Conceptual development: Overview,SA: Ch 8,
Week 11,2025-11-03,2025-11-07,2025-11-07,Conceptual development: Deep dive,,
Week 12,2025-11-10,2025-11-14,2025-11-14,Social Cognition: Overview,SA: Ch 9,
Week 13,2025-11-17,2025-11-21,2025-11-21,Social Cognition: Deep dive,,
Thanksgiving,2025-11-24,2025-11-28,2025-11-28,NO CLASS,,
Week 14,2025-12-01,2025-12-05,2025-12-05,Problem solving,,
Week 15,2025-12-08,2025-12-12,2025-12-12,TBD,,
Finals,2025-12-15,2025-12-19,2025-12-19,,,
